类别,模型系列,模型名称,平台,服务渠道,部署范围,计费层级或模式,计费模态或Token类型,输入价格(美元/百万Token),缓存输入价格(美元/百万Token),输出价格(美元/百万Token),5分钟缓存写入价格(美元/百万Token),1小时缓存写入价格(美元/百万Token),缓存命中价格(美元/百万Token),批处理输入价格(美元/百万Token),批处理输出价格(美元/百万Token),长上下文输入价格(美元/百万Token),长上下文输出价格(美元/百万Token),来源链接,备注
MiniMax,MiniMax-01,minimax-01,MiniMax API,MiniMax,Global,Pay-as-you-go,Text tokens,0.2,,1.1,,,,,,,,https://platform.minimax.io/docs/pricing/overview | https://www.minimax.io/pricing,MiniMax官方按量计费
MiniMax,MiniMax M2.5,minimax-m2-5,MiniMax API,MiniMax,Global,Pay-as-you-go,Text tokens,0.25,,0.95,,,,,,,,https://platform.minimax.io/docs/pricing/overview | https://www.minimax.io/pricing,MiniMax官方按量计费
MiniMax,MiniMax M2,minimax-m2,MiniMax API,MiniMax,Global,Pay-as-you-go,Text tokens,0.255,,1,,,,,,,,https://platform.minimax.io/docs/pricing/overview | https://www.minimax.io/pricing,MiniMax官方按量计费
MiniMax,MiniMax M2.1,minimax-m2-1,MiniMax API,MiniMax,Global,Pay-as-you-go,Text tokens,0.27,,0.95,,,,,,,,https://platform.minimax.io/docs/pricing/overview | https://www.minimax.io/pricing,MiniMax官方按量计费
MiniMax,MiniMax M2 Her,minimax-m2-her,MiniMax API,MiniMax,Global,Pay-as-you-go,Text tokens,0.3,,1.2,,,,,,,,https://platform.minimax.io/docs/pricing/overview | https://www.minimax.io/pricing,MiniMax官方按量计费
MiniMax,MiniMax M1,minimax-m1,MiniMax API,MiniMax,Global,Pay-as-you-go,Text tokens,0.4,,1.76,,,,,,,,https://platform.minimax.io/docs/pricing/overview | https://www.minimax.io/pricing,MiniMax官方按量计费
,,,,,,,,,,,,,,,,,,,
豆包,豆包通用模型-Pro,豆包Pro,火山方舟,字节跳动,中国内地,按量后付费,Text tokens,4,,16,,,,,,,,https://www.volcengine.com/docs/82379/1099320,价格单位为元/百万Token
豆包,豆包通用模型-Lite,豆包Lite,火山方舟,字节跳动,中国内地,按量后付费,Text tokens,0.8,,2,,,,,,,,https://www.volcengine.com/docs/82379/1099320,价格单位为元/百万Token
豆包,豆包专业代码模型,豆包代码,火山方舟,字节跳动,中国内地,按量后付费,Text tokens,4,,12,,,,,,,,https://www.volcengine.com/docs/82379/1099320,价格单位为元/百万Token
,,,,,,,,,,,,,,,,,,,
通义千问,千问Max,qwen3-max,阿里云百炼,阿里云,中国内地,Standard,Text tokens,2.4,,9.6,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token；支持Batch半价、上下文缓存
通义千问,千问Max,qwen-max-latest,阿里云百炼,阿里云,中国内地,Standard,Text tokens,2.4,,9.6,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token
通义千问,千问Plus,qwen3.5-plus,阿里云百炼,阿里云,中国内地,Standard,Text tokens,1.52,,3.8,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token；支持Batch半价、上下文缓存
通义千问,千问Flash,qwen3.5-flash,阿里云百炼,阿里云,中国内地,Standard,Text tokens,0.3,,0.6,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token；非思考模式
通义千问,千问Flash,qwen3.5-flash,阿里云百炼,阿里云,中国内地,Standard,Text tokens,0.3,,3,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token；思考模式输出
通义千问,千问Turbo,qwen-turbo-latest,阿里云百炼,阿里云,中国内地,Standard,Text tokens,0.367,,1.468,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token；阶梯价
,,,,,,,,,,,,,,,,,,,
文心一言,ERNIE 5.0,ernie-5.0,千帆大模型平台,百度,中国内地,按量后付费,Text tokens,6,,24,,,,,,,,https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya,价格单位为元/百万Token
文心一言,ERNIE 4.5 Turbo,ernie-4.5-turbo-128k,千帆大模型平台,百度,中国内地,按量后付费,Text tokens,0.8,,3.2,,,,,,,,https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya,价格单位为元/百万Token；128K上下文
文心一言,ERNIE 4.5,ernie-4.5,千帆大模型平台,百度,中国内地,按量后付费,Text tokens,4,,16,,,,,,,,https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya,价格单位为元/百万Token
文心一言,ERNIE Speed Pro,ernie-speed-pro-128k,千帆大模型平台,百度,中国内地,按量后付费,Text tokens,0.3,,0.6,,,,,,,,https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya,价格单位为元/百万Token；128K上下文
文心一言,ERNIE Lite Pro,ernie-lite-pro-128k,千帆大模型平台,百度,中国内地,按量后付费,Text tokens,0.2,,0.4,,,,,,,,https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya,价格单位为元/百万Token；128K上下文
,,,,,,,,,,,,,,,,,,,
混元,Tencent HY 2.0 Think,tencent-hy-2.0-think,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,3.975,,15.9,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；输入≤32k
混元,Tencent HY 2.0 Think,tencent-hy-2.0-think,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,5.3,,21.2,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；32k<输入≤128k
混元,Tencent HY 2.0 Instruct,tencent-hy-2.0-instruct,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,3.18,,7.95,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；输入≤32k
混元,Tencent HY 2.0 Instruct,tencent-hy-2.0-instruct,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,4.505,,11.13,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token；32k<输入≤128k
混元,Hunyuan-T1,hunyuan-t1,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,1,,4,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token
混元,Hunyuan-TurboS,hunyuan-turbos,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,0.8,,2,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token
混元,Hunyuan-a13b,hunyuan-a13b,腾讯混元,腾讯云,中国内地,按量后付费,Text tokens,0.5,,2,,,,,,,,https://cloud.tencent.com/document/product/1729/97731,价格单位为元/百万Token
