类别,模型系列,模型名称,平台,服务渠道,部署范围,计费层级或模式,计费模态或Token类型,输入价格(美元/百万Token),缓存输入价格(美元/百万Token),输出价格(美元/百万Token),5分钟缓存写入价格(美元/百万Token),1小时缓存写入价格(美元/百万Token),缓存命中价格(美元/百万Token),批处理输入价格(美元/百万Token),批处理输出价格(美元/百万Token),长上下文输入价格(美元/百万Token),长上下文输出价格(美元/百万Token),来源链接,备注
MiniMax,MiniMax-01,minimax-01,MiniMax API,MiniMax,Global,Pay-as-you-go,Text tokens,0.2,,1.1,,,,,,,,https://platform.minimax.io/docs/pricing/overview | https://www.minimax.io/pricing,MiniMax官方按量计费
MiniMax,MiniMax M2.5,minimax-m2-5,MiniMax API,MiniMax,Global,Pay-as-you-go,Text tokens,0.25,,0.95,,,,,,,,https://platform.minimax.io/docs/pricing/overview | https://www.minimax.io/pricing,MiniMax官方按量计费
MiniMax,MiniMax M2,minimax-m2,MiniMax API,MiniMax,Global,Pay-as-you-go,Text tokens,0.255,,1,,,,,,,,https://platform.minimax.io/docs/pricing/overview | https://www.minimax.io/pricing,MiniMax官方按量计费
MiniMax,MiniMax M2.1,minimax-m2-1,MiniMax API,MiniMax,Global,Pay-as-you-go,Text tokens,0.27,,0.95,,,,,,,,https://platform.minimax.io/docs/pricing/overview | https://www.minimax.io/pricing,MiniMax官方按量计费
MiniMax,MiniMax M2 Her,minimax-m2-her,MiniMax API,MiniMax,Global,Pay-as-you-go,Text tokens,0.3,,1.2,,,,,,,,https://platform.minimax.io/docs/pricing/overview | https://www.minimax.io/pricing,MiniMax官方按量计费
MiniMax,MiniMax M1,minimax-m1,MiniMax API,MiniMax,Global,Pay-as-you-go,Text tokens,0.4,,1.76,,,,,,,,https://platform.minimax.io/docs/pricing/overview | https://www.minimax.io/pricing,MiniMax官方按量计费
,,,,,,,,,,,,,,,,,,,
DeepSeek,DeepSeek-V3.2,deepseek-chat,DeepSeek API,DeepSeek,Global,Pay-as-you-go,Text tokens,2,,3,,,,0.2,,,,https://api-docs.deepseek.com/zh-cn/quick_start/pricing/,价格单位为元/百万Token；128K上下文；非思考模式；支持上下文缓存
DeepSeek,DeepSeek-V3.2,deepseek-reasoner,DeepSeek API,DeepSeek,Global,Pay-as-you-go,Text tokens,2,,3,,,,0.2,,,,https://api-docs.deepseek.com/zh-cn/quick_start/pricing/,价格单位为元/百万Token；128K上下文；思考模式；输出32K/64K；支持上下文缓存
,,,,,,,,,,,,,,,,,,,
豆包,豆包通用模型-Pro,豆包Pro,火山方舟,字节跳动,中国内地,按量后付费,Text tokens,4,,16,,,,,,,,https://www.volcengine.com/docs/82379/1099320,价格单位为元/百万Token
豆包,豆包通用模型-Lite,豆包Lite,火山方舟,字节跳动,中国内地,按量后付费,Text tokens,0.8,,2,,,,,,,,https://www.volcengine.com/docs/82379/1099320,价格单位为元/百万Token
豆包,豆包专业代码模型,豆包代码,火山方舟,字节跳动,中国内地,按量后付费,Text tokens,4,,12,,,,,,,,https://www.volcengine.com/docs/82379/1099320,价格单位为元/百万Token
DeepSeek,DeepSeek-R1,deepseek-r1,火山方舟,火山引擎,中国内地,按量后付费,Text tokens,4,,16,,,,,,,,https://www.volcengine.com/docs/82379/1544106,价格单位为元/百万Token；火山托管
DeepSeek,DeepSeek-V3,deepseek-v3,火山方舟,火山引擎,中国内地,按量后付费,Text tokens,2,,8,,,,,,,,https://www.volcengine.com/docs/82379/1544106,价格单位为元/百万Token；火山托管
DeepSeek,DeepSeek-R1-Distill-Qwen-32B,deepseek-r1-distill-qwen-32b,火山方舟,火山引擎,中国内地,按量后付费,Text tokens,1.5,,6,,,,,,,,https://www.volcengine.com/docs/82379/1544106,价格单位为元/百万Token；火山托管
DeepSeek,DeepSeek-R1-Distill-Qwen-7B,deepseek-r1-distill-qwen-7b,火山方舟,火山引擎,中国内地,按量后付费,Text tokens,0.6,,2.4,,,,,,,,https://www.volcengine.com/docs/82379/1544106,价格单位为元/百万Token；火山托管
,,,,,,,,,,,,,,,,,,,
通义千问,千问Max,qwen3-max,阿里云百炼,阿里云,中国内地,Standard,Text tokens,2.4,,9.6,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token；支持Batch半价、上下文缓存
通义千问,千问Max,qwen-max-latest,阿里云百炼,阿里云,中国内地,Standard,Text tokens,2.4,,9.6,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token
通义千问,千问Plus,qwen3.5-plus,阿里云百炼,阿里云,中国内地,Standard,Text tokens,1.52,,3.8,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token；支持Batch半价、上下文缓存
通义千问,千问Flash,qwen3.5-flash,阿里云百炼,阿里云,中国内地,Standard,Text tokens,0.3,,0.6,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token；非思考模式
通义千问,千问Flash,qwen3.5-flash,阿里云百炼,阿里云,中国内地,Standard,Text tokens,0.3,,3,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token；思考模式输出
通义千问,千问Turbo,qwen-turbo-latest,阿里云百炼,阿里云,中国内地,Standard,Text tokens,0.367,,1.468,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token；阶梯价
DeepSeek,DeepSeek-V3.2,deepseek-v3.2,阿里云百炼,阿里云,中国内地,Standard,Text tokens,2,,3,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token；支持上下文缓存
DeepSeek,DeepSeek-V3.2-Exp,deepseek-v3.2-exp,阿里云百炼,阿里云,中国内地,Standard,Text tokens,2,,3,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token
DeepSeek,DeepSeek-V3.1,deepseek-v3.1,阿里云百炼,阿里云,中国内地,Standard,Text tokens,4,,12,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token
DeepSeek,DeepSeek-R1,deepseek-r1,阿里云百炼,阿里云,中国内地,Standard,Text tokens,4,,16,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token；支持Batch半价
DeepSeek,DeepSeek-R1-0528,deepseek-r1-0528,阿里云百炼,阿里云,中国内地,Standard,Text tokens,4,,16,,,,,,,,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-vl-plus-pricing,价格单位为元/百万Token
